sightDate,year,time,quad,fishArea,lat,long,count,comments,channel,source
4/24/16,2016,15:00,384,8,48.02,122.31,1,21,orca network,reliable
4/22/16,2016,12:02,384,8,48.02,122.31,1,21,orca network,reliable
5/21/22,2022,17:30,382,8,48.08,122.33,1,21,orca network,public
5/10/22,2022,11:40,374,8,48.23,122.57,1,21,orca network,reliable
4/23/21,2021,16:28,378,8,48.13,122.38,1,21,orca network,reliable
3/24/21,2021,13:15,371,8,48.27,122.45,1,21,orca network,public
3/12/22,2022,12:30,379,8,48.12,122.52,1,21,orca network,reliable
4/24/23,2023,12:05,386,8,47.96,122.29,1,21,orca network,reliable
4/23/23,2023,19:00,378,8,48.13,122.38,1,21,orca network,public
4/16/23,2023,16:00,378,8,48.13,122.38,1,21,orca network,reliable
4/9/17,2017,11:45,383,8,48.06,122.4,1,21,other,ww
5/20/18,2018,0:00,381,8,48.1,122.44,1,21,orca network,public
5/20/18,2018,12:55,381,8,48.1,122.44,1,21,orca network,reliable
5/20/18,2018,14:00,381,8,48.1,122.44,1,21,orca network,public
4/2/17,2017,13:00,381,8,48.1,122.44,1,21,orca network,reliable
4/2/15,2015,0:00,384,8,48.02,122.31,1,21,orca network,reliable
4/25/19,2019,0:00,375,8,48.18,122.55,1,21,orca network,reliable
4/8/19,2019,11:50,381,8,48.1,122.44,1,21,orca network,reliable
4/6/19,2019,11:45,384,8,48.02,122.31,1,21,orca network,reliable
4/5/19,2019,12:15,383,8,48.06,122.4,1,21,orca network,reliable
4/12/17,2017,13:47,378,8,48.13,122.38,1,21,orca network,reliable
4/8/13,2013,14:05,375,8,48.18,122.55,1,21,orca network,reliable
3/8/15,2015,11:45,398,9,47.89,122.36,1,21,orca network,reliable
3/21/20,2020,13:00,384,8,48.02,122.31,1,21,orca network,public
4/20/18,2018,10:39,384,8,48.02,122.31,1,21,orca network,reliable
3/30/18,2018,13:30,378,8,48.13,122.38,1,21,orca network,reliable
3/24/18,2018,11:45,381,8,48.1,122.44,1,21,orca network,public
3/21/18,2018,0:00,384,8,48.02,122.31,1,22,orca network,reliable
3/25/15,2015,12:40,384,8,48.02,122.31,1,22,orca network,reliable
6/5/20,2020,0:00,386,8,47.96,122.29,1,22,orca network,public
5/21/16,2016,9:00,384,8,48.02,122.31,1,22,orca network,reliable
6/18/20,2020,14:00,264,20C,48.35,123.72,1,22,orca network,reliable
6/14/20,2020,8:15,386,8,47.96,122.29,1,22,orca network,reliable
6/13/20,2020,13:34,385,8,48.01,122.22,1,22,orca network,reliable
6/10/20,2020,18:28,385,8,48.01,122.22,1,22,orca network,reliable
4/6/23,2023,7:45,385,8,48.01,122.22,1,22,orca network,public
2/18/23,2023,13:44,385,8,48.01,122.22,1,22,orca network,reliable
2/18/23,2023,16:00,385,8,48.01,122.22,1,22,orca network,reliable
4/6/23,2023,7:15,378,8,48.13,122.38,1,22,orca network,public
4/20/23,2023,16:40,379,8,48.12,122.52,1,22,orca network,public
4/20/23,2023,17:25,379,8,48.12,122.52,1,22,unknown,unknown
4/20/23,2023,17:47,379,8,48.12,122.52,1,22,orca network,reliable
2/23/23,2023,11:03,382,8,48.08,122.33,1,22,orca network,reliable
2/13/23,2023,12:58,382,8,48.08,122.33,1,22,orca network,reliable
1/9/23,2023,11:15,383,8,48.06,122.4,1,22,orca network,reliable
1/22/23,2023,17:07,383,8,48.06,122.4,1,22,orca network,public
2/1/23,2023,15:50,379,8,48.12,122.52,1,22,orca network,public
1/20/23,2023,11:00,381,8,48.1,122.44,1,22,orca network,reliable
1/17/23,2023,10:30,383,8,48.06,122.4,1,22,orca network,reliable
1/17/23,2023,11:00,383,8,48.06,122.4,1,22,orca network,reliable
3/27/19,2019,0:00,384,8,48.02,122.31,1,22,orca network,ww
3/24/19,2019,11:00,375,8,48.18,122.55,1,22,orca network,ww
4/17/15,2015,0:00,385,8,48.01,122.22,1,22,orca network,reliable
2/13/23,2023,13:35,376,8,48.21,122.38,1,22,orca network,reliable
5/27/18,2018,0:00,384,8,48.02,122.31,1,22,orca network,reliable
5/26/18,2018,0:00,384,8,48.02,122.31,1,22,orca network,public
4/9/17,2017,11:45,383,8,48.06,122.4,1,22,other,ww
5/20/18,2018,0:00,381,8,48.1,122.44,1,22,orca network,public
5/20/18,2018,12:55,381,8,48.1,122.44,1,22,orca network,reliable
5/20/18,2018,14:00,381,8,48.1,122.44,1,22,orca network,public
4/2/15,2015,0:00,384,8,48.02,122.31,1,22,orca network,reliable
4/25/19,2019,0:00,375,8,48.18,122.55,1,22,orca network,reliable
4/8/19,2019,11:50,381,8,48.1,122.44,1,22,orca network,reliable
4/6/19,2019,11:45,384,8,48.02,122.31,1,22,orca network,reliable
4/5/19,2019,12:15,383,8,48.06,122.4,1,22,orca network,reliable
4/12/17,2017,13:47,378,8,48.13,122.38,1,22,orca network,reliable
4/8/13,2013,14:05,375,8,48.18,122.55,1,22,orca network,reliable
3/21/20,2020,13:00,384,8,48.02,122.31,1,22,orca network,public
5/14/17,2017,0:00,386,8,47.96,122.29,1,22,orca network,reliable
4/10/18,2018,11:21,385,8,48.01,122.22,1,22,orca network,reliable
3/25/18,2018,12:00,247,6,48.32,122.71,1,22,orca network,public
3/25/18,2018,8:40,166,7,48.68,123.08,1,22,orca network,reliable
3/24/18,2018,10:35,383,8,48.06,122.4,1,22,orca network,public
3/15/22,2022,12:30,374,8,48.23,122.57,1,44,orca network,reliable
5/9/20,2020,15:09,386,8,47.96,122.29,1,44,orca network,public
3/9/22,2022,8:30,390,9,48.05,122.63,1,44,orca network,public
3/6/21,2021,12:40,384,8,48.02,122.31,1,44,orca network,public
5/16/21,2021,9:55,398,9,47.89,122.36,1,44,orca network,reliable
5/7/21,2021,12:30,383,8,48.06,122.4,1,44,orca network,reliable
4/20/21,2021,11:19,378,8,48.13,122.38,1,44,orca network,reliable
3/29/21,2021,11:30,384,8,48.02,122.31,1,44,orca network,reliable
3/13/21,2021,11:55,372,8,48.27,122.56,1,44,orca network,reliable
3/8/21,2021,15:45,372,8,48.27,122.56,1,44,orca network,reliable
3/16/22,2022,14:00,367,8,48.36,122.51,1,44,orca network,public
4/16/20,2020,15:14,379,8,48.12,122.52,1,44,orca network,public
4/21/13,2013,17:12,384,8,48.02,122.31,1,44,orca network,reliable
6/19/20,2020,13:39,375,8,48.18,122.55,1,44,orca network,public
5/30/20,2020,11:30,386,8,47.96,122.29,1,44,orca network,reliable
4/1/20,2020,18:45,373,8,48.23,122.67,1,44,orca network,reliable
5/15/20,2020,9:00,386,8,47.96,122.29,1,44,orca network,reliable
3/25/13,2013,18:22,373,8,48.23,122.67,1,44,orca network,reliable
3/22/19,2019,0:00,386,8,47.96,122.29,1,44,orca network,reliable
4/15/20,2020,7:15,386,8,47.96,122.29,1,44,orca network,reliable
4/4/15,2015,16:12,379,8,48.12,122.52,1,44,orca network,reliable
2/26/20,2020,14:38,372,8,48.27,122.56,1,44,orca network,public
2/26/20,2020,13:48,372,8,48.27,122.56,1,44,orca network,public
3/29/20,2020,13:38,373,8,48.23,122.67,1,44,orca network,reliable
4/24/18,2018,10:55,373,8,48.23,122.67,1,44,orca network,reliable
4/23/18,2018,11:45,381,8,48.1,122.44,1,44,orca network,public
4/23/18,2018,10:53,384,8,48.02,122.31,1,44,orca network,reliable
4/20/18,2018,11:20,384,8,48.02,122.31,1,44,orca network,reliable
4/22/17,2017,0:00,383,8,48.06,122.4,1,44,hotline,public
4/16/13,2013,12:34,384,8,48.02,122.31,1,49,orca network,reliable
3/19/18,2018,16:35,384,8,48.02,122.31,1,49,orca network,public
3/2/19,2019,13:00,386,8,47.96,122.29,1,49,orca network,ww
3/18/17,2017,12:15,375,8,48.18,122.55,1,49,orca network,public
3/5/17,2017,11:57,378,8,48.13,122.38,1,49,orca network,reliable
3/4/17,2017,15:09,382,8,48.08,122.33,1,49,orca network,reliable
3/4/17,2017,0:00,378,8,48.13,122.38,1,49,orca network,reliable
3/4/17,2017,0:00,383,8,48.06,122.4,1,49,orca network,reliable
3/21/20,2020,12:30,384,8,48.02,122.31,1,49,orca network,public
3/17/19,2019,11:15,384,8,48.02,122.31,1,49,orca network,public
3/18/17,2017,14:50,379,8,48.12,122.52,1,49,other,ww
3/18/17,2017,14:18,381,8,48.1,122.44,1,49,other,ww
3/6/20,2020,12:45,384,8,48.02,122.31,1,49,orca network,reliable
3/4/17,2017,0:00,378,8,48.13,122.38,1,49,orca network,reliable
3/19/16,2016,0:00,384,8,48.02,122.31,1,49,orca network,reliable
4/27/18,2018,10:20,385,8,48.01,122.22,1,49,orca network,reliable
4/26/18,2018,10:20,384,8,48.02,122.31,1,49,orca network,public
4/21/18,2018,11:15,384,8,48.02,122.31,1,49,orca network,public
4/17/18,2018,10:32,384,8,48.02,122.31,1,49,orca network,reliable
3/29/18,2018,14:26,384,8,48.02,122.31,1,49,orca network,reliable
3/22/17,2017,12:15,378,8,48.13,122.38,1,53,orca network,reliable
2/24/21,2021,12:30,375,8,48.18,122.55,1,53,orca network,reliable
2/24/21,2021,10:30,379,8,48.12,122.52,1,53,orca network,reliable
2/23/21,2021,18:04,380,8,48.06,122.52,1,53,orca network,reliable
2/23/21,2021,17:47,379,8,48.12,122.52,1,53,orca network,reliable
2/8/22,2022,16:20,386,8,47.96,122.29,1,53,orca network,public
1/4/22,2022,14:50,379,8,48.12,122.52,1,53,orca network,reliable
1/16/22,2022,12:50,383,8,48.06,122.4,1,53,orca network,public
2/7/21,2021,14:00,384,8,48.02,122.31,1,53,orca network,reliable
2/25/21,2021,10:30,379,8,48.12,122.52,1,53,orca network,reliable
2/19/21,2021,7:32,372,8,48.27,122.56,1,53,orca network,public
2/14/21,2021,17:30,374,8,48.23,122.57,1,53,orca network,public
2/14/21,2021,13:35,375,8,48.18,122.55,1,53,orca network,reliable
2/9/21,2021,10:05,379,8,48.12,122.52,1,53,orca network,public
2/3/21,2021,14:08,375,8,48.18,122.55,1,53,orca network,public
2/3/21,2021,12:15,379,8,48.12,122.52,1,53,orca network,reliable
2/3/21,2021,6:30,379,8,48.12,122.52,1,53,email,public
1/30/21,2021,16:44,379,8,48.12,122.52,1,53,orca network,unknown
1/28/21,2021,14:20,379,8,48.12,122.52,1,53,orca network,public
1/25/21,2021,15:43,383,8,48.06,122.4,1,53,orca network,public
1/10/21,2021,15:20,381,8,48.1,122.44,1,53,orca network,reliable
1/6/21,2021,13:25,383,8,48.06,122.4,1,53,orca network,reliable
5/30/21,2021,15:15,386,8,47.96,122.29,1,53,orca network,reliable
3/27/21,2021,11:30,384,8,48.02,122.31,1,53,orca network,reliable
3/6/21,2021,12:06,380,8,48.06,122.52,1,53,orca network,reliable
3/3/21,2021,16:00,379,8,48.12,122.52,1,53,orca network,reliable
2/27/21,2021,13:00,381,8,48.1,122.44,1,53,orca network,reliable
2/27/21,2021,12:25,379,8,48.12,122.52,1,53,orca network,reliable
